,Age,Gender,Class,Joined,Married,Fare,Survived
0,41.0,Male,C3,Southampton,0.0,7.0,0
1,21.0,Male,Crew,Southampton,0.0,0.0,0
2,13.0,Male,C3,Southampton,,20.0,0
3,16.0,Male,C3,Southampton,0.0,,0
4,,Male,C2,Cherbourg,0.0,24.0,0
5,34.0,Male,,Southampton,1.0,0.0,0
6,45.0,Male,C3,Cherbourg,0.0,7.0,0
7,19.0,Male,C3,Cherbourg,0.0,7.0,0
8,26.0,Male,C3,Southampton,0.0,8.0,0
9,26.0,Male,Crew,Southampton,0.0,0.0,0
10,20.0,Male,Crew,Southampton,0.0,0.0,0
11,40.0,Female,C3,Southampton,1.0,9.0,0
12,24.0,Male,C3,Southampton,0.0,7.0,0
13,,Male,Crew,Southampton,0.0,0.0,0
14,37.0,Male,Crew,Southampton,1.0,0.0,0
15,35.0,Male,Crew,Southampton,1.0,13.0,0
16,19.0,Male,C3,Southampton,0.0,7.0,0
17,25.0,Male,C3,Southampton,0.0,7.0,0
18,22.0,Male,Crew,Southampton,0.0,0.0,0
19,26.0,Male,Crew,Southampton,1.0,0.0,0
20,30.0,Male,Crew,Southampton,1.0,0.0,0
21,35.0,Male,Crew,Southampton,1.0,0.0,0
22,39.0,Male,C3,Southampton,1.0,8.0,0
23,2.0,Female,C1,Southampton,0.0,151.0,0
24,,Male,C1,Southampton,1.0,,0
25,25.0,Female,C1,Southampton,1.0,151.0,0
26,36.0,Male,Crew,Belfast,1.0,0.0,0
27,43.0,Male,Crew,Belfast,1.0,0.0,0
28,,Male,C3,Southampton,0.0,8.0,0
29,33.0,Male,C3,Southampton,1.0,22.0,0
30,50.0,Male,Crew,Southampton,0.0,0.0,0
31,4.0,Male,C3,Southampton,0.0,31.0,0
32,6.0,Female,C3,Southampton,0.0,31.0,0
33,2.0,Female,C3,Southampton,0.0,31.0,0
34,38.0,Female,C3,Southampton,0.0,7.0,0
35,9.0,Female,C3,Southampton,0.0,31.0,0
36,11.0,Female,C3,Southampton,0.0,31.0,0
37,39.0,Male,C3,Southampton,1.0,31.0,0
38,26.0,Male,C3,Southampton,0.0,7.0,0
39,39.0,Female,C3,Southampton,1.0,31.0,0
40,20.0,Male,C3,Southampton,0.0,7.0,0
41,17.0,Male,C2,Southampton,0.0,11.0,0
42,26.0,Male,C2,Southampton,1.0,10.0,0
43,39.0,Male,Crew,Belfast,1.0,0.0,0
44,31.0,Male,C2,Southampton,1.0,26.0,0
45,,Male,C3,Southampton,1.0,17.0,0
46,18.0,Female,C3,Southampton,1.0,17.0,0
47,71.0,Male,C1,Cherbourg,0.0,49.0,0
48,57.0,Male,C2,Southampton,1.0,13.0,0
49,41.0,Male,Crew,Southampton,1.0,0.0,0
50,35.0,Male,C3,Southampton,0.0,7.0,0
51,5.0,Male,C3,Southampton,0.0,31.0,0
52,9.0,Male,C3,Southampton,0.0,31.0,0
53,13.0,Male,C3,Southampton,0.0,31.0,0
54,40.0,Male,C3,Southampton,1.0,31.0,0
55,23.0,Male,C3,Southampton,0.0,7.0,0
56,47.0,Male,C1,Cherbourg,0.0,247.0,0
57,27.0,Male,C3,Cherbourg,0.0,7.0,0
58,18.0,Female,C3,Cherbourg,0.0,14.0,0
59,23.0,Male,Crew,Southampton,1.0,0.0,0
60,37.0,Male,Crew,Belfast,1.0,0.0,0
61,32.0,Male,C3,Southampton,0.0,15.0,0
62,40.0,Male,C3,Cherbourg,0.0,7.0,0
63,33.0,Male,Crew,Southampton,1.0,0.0,0
64,44.0,Male,Crew,Belfast,0.0,0.0,0
65,46.0,Male,Crew,Southampton,1.0,0.0,0
66,18.0,Male,C2,Southampton,0.0,11.0,0
67,22.0,Male,C2,Southampton,0.0,10.0,0
68,58.0,Male,Crew,Southampton,0.0,0.0,0
69,42.0,Male,C2,Southampton,0.0,13.0,0
70,24.0,Male,Crew,Southampton,0.0,0.0,0
71,28.0,Male,C2,Southampton,1.0,10.0,0
72,34.0,Male,Crew,Southampton,1.0,0.0,0
73,45.0,Female,C3,Cherbourg,0.0,14.0,0
74,19.0,Male,Crew,Southampton,0.0,0.0,0
75,40.0,Male,Crew,Southampton,1.0,0.0,0
76,42.0,Male,Crew,Belfast,1.0,0.0,0
77,39.0,Male,Crew,Southampton,0.0,0.0,0
78,29.0,Male,Crew,Southampton,0.0,0.0,0
79,40.0,Male,Crew,Southampton,0.0,0.0,0
80,39.0,Male,Crew,Southampton,1.0,0.0,0
81,16.0,Male,Crew,Southampton,0.0,0.0,0
82,34.0,Male,Crew,Belfast,1.0,0.0,0
83,30.0,Female,C3,Queenstown,0.0,7.0,0
84,22.0,Male,C3,Southampton,0.0,8.0,0
85,27.0,Male,Crew,Southampton,0.0,0.0,0
86,52.0,Male,C2,Southampton,1.0,12.0,0
87,48.0,Male,C1,Cherbourg,0.0,25.0,0
88,53.0,Male,Crew,Southampton,0.0,0.0,0
89,24.0,Male,C1,Cherbourg,0.0,247.0,0
90,55.0,Male,Crew,Southampton,1.0,0.0,0
91,33.0,Male,Crew,Southampton,0.0,0.0,0
92,30.0,Male,C3,Cherbourg,0.0,7.0,0
93,40.0,Male,Crew,Belfast,1.0,0.0,0
94,36.0,Male,C1,Southampton,0.0,75.0,0
95,,Male,C2,Southampton,1.0,26.0,0
96,20.0,Male,C3,Southampton,0.0,8.0,0
97,31.0,Male,Crew,Southampton,0.0,0.0,0
98,51.0,Male,Crew,Belfast,1.0,0.0,0
99,23.0,Male,Crew,Southampton,0.0,0.0,0
100,30.0,Male,Crew,Southampton,0.0,0.0,0
101,47.0,Male,Crew,Southampton,0.0,0.0,0
102,22.0,Male,C3,Southampton,0.0,9.0,0
103,23.0,Male,C2,Southampton,0.0,13.0,0
104,31.0,Male,Crew,Southampton,1.0,0.0,0
105,25.0,Male,Crew,Southampton,0.0,0.0,0
106,21.0,Male,C3,Southampton,0.0,7.0,0
107,24.0,Male,C1,Cherbourg,0.0,26.0,0
108,28.0,Male,Crew,Southampton,0.0,0.0,0
109,18.0,Male,C3,Southampton,0.0,7.0,0
110,41.0,Male,Crew,Southampton,0.0,0.0,0
111,45.0,Male,C1,Southampton,0.0,35.0,0
112,17.0,Male,Crew,Southampton,0.0,0.0,0
113,26.0,Male,Crew,Belfast,0.0,0.0,0
114,36.0,Male,Crew,Southampton,1.0,0.0,0
115,32.0,Male,Crew,Southampton,0.0,0.0,0
116,43.0,Male,Crew,Southampton,1.0,0.0,0
117,59.0,Male,Crew,Southampton,1.0,0.0,0
118,45.0,Male,Crew,Belfast,1.0,0.0,0
119,41.0,Male,C1,Southampton,1.0,26.0,0
120,32.0,Male,Crew,Belfast,1.0,0.0,0
121,25.0,Male,C2,Southampton,0.0,13.0,0
122,46.0,Male,Crew,Southampton,0.0,0.0,0
123,18.0,Male,C3,Cherbourg,0.0,7.0,0
124,40.0,Female,C3,Queenstown,0.0,7.0,0
125,42.0,Male,C3,Queenstown,1.0,15.0,0
126,32.0,Female,C3,Queenstown,1.0,15.0,0
127,20.0,Male,C3,Southampton,0.0,16.0,0
128,,Male,C2,Southampton,1.0,13.0,0
129,38.0,Male,Crew,Southampton,1.0,0.0,0
130,42.0,Male,Crew,Southampton,1.0,0.0,0
131,41.0,Male,C1,Southampton,0.0,30.0,0
132,20.0,Female,C3,Southampton,0.0,7.0,0
133,48.0,Male,C1,Cherbourg,0.0,50.0,0
134,29.0,Male,C3,Southampton,0.0,7.0,0
135,22.0,Male,C3,Southampton,0.0,7.0,0
136,45.0,Male,C1,Cherbourg,1.0,39.0,0
137,52.0,Male,Crew,Belfast,1.0,0.0,0
138,40.0,Male,C2,Southampton,0.0,13.0,0
139,40.0,Male,C3,Southampton,1.0,8.0,0
140,28.0,Male,Crew,Southampton,1.0,0.0,0
141,33.0,Male,Crew,Belfast,1.0,0.0,0
142,60.0,Male,C2,Southampton,0.0,39.0,0
143,41.0,Male,Crew,Belfast,0.0,0.0,0
144,25.0,Male,C2,Southampton,0.0,26.0,0
145,23.0,Female,C3,Queenstown,0.0,7.0,0
146,34.0,Male,Crew,Southampton,0.0,0.0,0
147,20.0,Male,Crew,Belfast,0.0,0.0,0
148,19.0,Male,C3,Queenstown,0.0,6.0,0
149,29.0,Male,Crew,Belfast,1.0,0.0,0
150,15.0,Female,C3,Queenstown,0.0,7.0,0
151,29.0,Male,Crew,Southampton,1.0,0.0,0
152,35.0,Male,Crew,Southampton,0.0,0.0,0
153,21.0,Male,C3,Cherbourg,1.0,7.0,0
154,46.0,Male,C1,Southampton,0.0,26.0,0
155,44.0,Male,Crew,Southampton,0.0,0.0,0
156,7.0,Male,C3,Cherbourg,0.0,15.0,0
157,10.0,Female,C3,Cherbourg,0.0,15.0,0
158,40.0,Female,C3,Cherbourg,1.0,15.0,0
159,28.0,Male,Crew,Southampton,0.0,31.0,0
160,33.0,Male,Crew,Belfast,0.0,0.0,0
161,,Female,C3,Queenstown,0.0,7.0,0
162,21.0,Male,C3,Queenstown,0.0,7.0,0
163,29.0,Male,C3,Southampton,1.0,8.0,0
164,28.0,Male,C3,Cherbourg,0.0,14.0,0
165,19.0,Male,C2,Southampton,0.0,13.0,0
166,28.0,Male,C3,Southampton,1.0,7.0,0
167,33.0,Male,C1,Southampton,0.0,5.0,0
168,45.0,Female,C3,Queenstown,0.0,7.0,0
169,27.0,Male,C1,Southampton,0.0,47.0,0
170,17.0,Male,C1,Southampton,0.0,47.0,0
171,45.0,Female,C2,Southampton,1.0,26.0,0
172,54.0,Male,C2,Southampton,0.0,26.0,0
173,,Male,C3,Southampton,0.0,7.0,0
174,49.0,Male,C1,Southampton,1.0,26.0,0
175,36.0,Male,C1,Southampton,1.0,78.0,0
176,24.0,Male,C3,Southampton,0.0,8.0,0
177,46.0,Male,C1,Southampton,0.0,61.0,0
178,51.0,Male,C2,Southampton,0.0,13.0,0
179,37.0,Male,C2,Southampton,1.0,26.0,0
180,30.0,Female,C2,Southampton,1.0,26.0,0
181,20.0,Male,C3,Queenstown,0.0,7.0,0
182,27.0,Male,Crew,Belfast,0.0,0.0,0
183,29.0,Male,C3,Southampton,0.0,8.0,0
184,26.0,Male,C3,Cherbourg,0.0,14.0,0
185,21.0,Male,C3,Cherbourg,0.0,14.0,0
186,27.0,Male,C1,Cherbourg,1.0,136.0,0
187,29.0,Male,C2,Southampton,1.0,26.0,0
188,40.0,Male,C1,Southampton,1.0,52.0,0
189,21.0,Male,Crew,Southampton,1.0,0.0,0
190,24.0,Male,C3,Queenstown,0.0,7.0,0
191,57.0,Male,Crew,Belfast,1.0,0.0,0
192,29.0,Male,C2,Southampton,0.0,10.0,0
193,27.0,Male,C2,Southampton,0.0,13.0,0
194,37.0,Male,C1,Southampton,0.0,25.0,0
195,37.0,Male,C1,Cherbourg,0.0,83.0,0
196,30.0,Male,C3,Queenstown,0.0,7.0,0
197,40.0,Male,C3,Queenstown,0.0,7.0,0
198,41.0,Female,C3,Queenstown,0.0,7.0,0
199,66.0,Male,C3,Queenstown,0.0,7.0,0
200,25.0,Male,Crew,Belfast,0.0,0.0,0
201,43.0,Male,C3,Southampton,0.0,8.0,0
202,45.0,Male,Crew,Southampton,1.0,0.0,0
203,27.0,Male,Crew,Southampton,1.0,0.0,0
204,30.0,Female,C2,Southampton,1.0,13.0,0
205,32.0,Female,C2,Southampton,1.0,21.0,0
206,30.0,Male,C3,Southampton,1.0,8.0,0
207,21.0,Male,C2,Southampton,0.0,11.0,0
208,49.0,Male,Crew,Southampton,0.0,0.0,0
209,58.0,Male,C3,Southampton,0.0,7.0,0
210,27.0,Male,Crew,Belfast,1.0,0.0,0
211,58.0,Male,C1,Southampton,0.0,26.0,0
212,43.0,Male,C3,Southampton,0.0,16.0,0
213,70.0,Male,C1,Southampton,0.0,71.0,0
214,44.0,Male,Crew,Southampton,1.0,0.0,0
215,35.0,Male,Crew,Belfast,1.0,0.0,0
216,39.0,Male,C1,Cherbourg,0.0,71.0,0
217,21.0,Male,Crew,Belfast,0.0,0.0,0
218,22.0,Female,C3,Southampton,0.0,10.0,0
219,19.0,Male,C3,Southampton,0.0,10.0,0
220,1.0,Male,C3,Southampton,0.0,14.0,0
221,34.0,Male,C3,Southampton,0.0,14.0,0
222,28.0,Female,C3,Southampton,1.0,14.0,0
223,18.0,Male,Crew,Southampton,0.0,0.0,0
224,31.0,Male,C1,Cherbourg,0.0,52.0,0
225,24.0,Male,C3,Southampton,1.0,24.0,0
226,19.0,Male,C2,Southampton,0.0,73.0,0
227,22.0,Male,C3,Southampton,0.0,24.0,0
228,17.0,Male,C3,Southampton,0.0,8.0,0
229,32.0,Male,C3,Southampton,1.0,16.0,0
230,16.0,Male,C3,Southampton,0.0,9.0,0
231,17.0,Male,C2,Southampton,0.0,73.0,0
232,25.0,Male,C3,Southampton,0.0,20.0,0
233,34.0,Male,Crew,Belfast,0.0,0.0,0
234,29.0,Male,C2,Cherbourg,1.0,27.0,0
235,25.0,Male,C2,Southampton,0.0,31.0,0
236,30.0,Male,C3,Southampton,0.0,7.0,0
237,27.0,Male,C3,Southampton,0.0,7.0,0
238,28.0,Male,Crew,Belfast,0.0,0.0,0
239,18.0,Male,C2,Southampton,0.0,73.0,0
240,17.0,Male,C3,Southampton,0.0,7.0,0
241,42.0,Male,C3,Southampton,1.0,8.0,0
242,43.0,Male,C3,Southampton,0.0,7.0,0
243,49.0,Male,Crew,Southampton,1.0,0.0,0
244,39.0,Male,Crew,Belfast,0.0,0.0,0
245,44.0,Male,Crew,Belfast,1.0,0.0,0
246,22.0,Male,C3,Queenstown,0.0,8.0,0
247,38.0,Male,Crew,Belfast,1.0,0.0,0
248,31.0,Male,Crew,Belfast,1.0,0.0,0
249,21.0,Female,C3,Queenstown,0.0,7.0,0
250,37.0,Male,C3,Queenstown,0.0,7.0,0
251,50.0,Male,C1,Cherbourg,0.0,106.0,0
252,55.0,Male,C2,Southampton,1.0,26.0,0
253,28.0,Female,C3,Queenstown,0.0,7.0,0
254,33.0,Male,C3,Cherbourg,1.0,7.0,0
255,42.0,Male,C2,Southampton,1.0,32.0,0
256,39.0,Male,C1,Cherbourg,0.0,29.0,0
257,48.0,Male,Crew,Southampton,0.0,0.0,0
258,65.0,Male,C3,Queenstown,1.0,7.0,0
259,24.0,Male,Crew,Belfast,0.0,0.0,0
260,23.0,Male,C3,Southampton,1.0,13.0,0
261,28.0,Male,C3,Cherbourg,0.0,7.0,0
262,29.0,Male,C3,Cherbourg,1.0,7.0,0
263,48.0,Male,Crew,Southampton,1.0,0.0,0
264,16.0,Male,C3,Southampton,0.0,7.0,0
265,45.0,Male,C3,Southampton,1.0,6.0,0
266,22.0,Male,C3,Cherbourg,0.0,7.0,0
267,39.0,Male,C3,Cherbourg,0.0,7.0,0
268,15.0,Male,C3,Cherbourg,0.0,7.0,0
269,48.0,Male,C3,Southampton,1.0,7.0,0
270,21.0,Male,C2,Southampton,0.0,13.0,0
271,18.0,Male,Crew,Belfast,0.0,0.0,0
272,37.0,Male,C3,Southampton,0.0,7.0,0
273,36.0,Female,C1,Cherbourg,0.0,31.0,0
274,37.0,Male,C3,Southampton,1.0,15.0,0
275,18.0,Male,C2,Southampton,0.0,13.0,0
276,46.0,Male,C3,Southampton,1.0,7.0,0
277,22.0,Male,Crew,Belfast,0.0,0.0,0
278,26.0,Male,C3,Queenstown,0.0,7.0,0
279,48.0,Male,Crew,Southampton,1.0,221.0,0
280,31.0,Male,C2,Southampton,0.0,26.0,0
281,18.0,Male,C2,Southampton,0.0,10.0,0
282,22.0,Female,C3,Queenstown,0.0,7.0,0
283,25.0,Male,Crew,Belfast,1.0,0.0,0
284,28.0,Male,C3,Queenstown,0.0,7.0,0
285,48.0,Male,C3,Queenstown,1.0,6.0,0
286,19.0,Male,C3,Queenstown,0.0,7.0,0
287,20.0,Female,C3,Southampton,0.0,34.0,0
288,7.0,Female,C3,Southampton,0.0,34.0,0
289,23.0,Male,C3,Southampton,0.0,8.0,0
290,18.0,Male,C3,Southampton,0.0,34.0,0
291,14.0,Male,C3,Southampton,0.0,34.0,0
292,54.0,Female,C3,Southampton,1.0,34.0,0
293,30.0,Male,C1,Southampton,0.0,27.0,0
294,19.0,Male,C1,Southampton,0.0,263.0,0
295,64.0,Male,C1,Southampton,0.0,263.0,0
296,38.0,Male,C2,Southampton,1.0,13.0,0
297,37.0,Male,C1,Southampton,0.0,26.0,0
298,30.0,Male,Crew,Belfast,1.0,0.0,0
299,38.0,Female,C2,Southampton,0.0,13.0,0
300,37.0,Male,C1,Southampton,0.0,53.0,0
301,36.0,Male,C2,Southampton,0.0,26.0,0
302,37.0,Male,C2,Southampton,0.0,21.0,0
303,33.0,Male,C2,Southampton,0.0,21.0,0
304,29.0,Male,C3,Queenstown,0.0,7.0,0
305,21.0,Male,C3,Southampton,0.0,14.0,0
306,19.0,Male,C2,Southampton,0.0,26.0,0
307,26.0,Male,C2,Southampton,0.0,10.0,0
308,32.0,Male,Crew,Southampton,1.0,0.0,0
309,47.0,Male,C1,Southampton,0.0,38.0,0
310,1.0,Male,C3,Cherbourg,0.0,7.0,0
311,23.0,Male,Crew,Cherbourg,0.0,79.0,0
312,46.0,Male,C2,Southampton,0.0,10.0,0
313,20.0,Male,C2,Southampton,0.0,11.0,0
314,24.0,Male,C2,Southampton,0.0,13.0,0
315,24.0,Male,C2,Southampton,1.0,13.0,0
316,31.0,Male,C2,Southampton,0.0,13.0,0
317,71.0,Male,C1,Cherbourg,0.0,34.0,0
318,33.0,Male,C3,Southampton,1.0,20.0,0
319,41.0,Male,C3,Southampton,1.0,7.0,0
320,10.0,Male,C3,Southampton,0.0,46.0,0
321,1.0,Male,C3,Southampton,0.0,46.0,0
322,13.0,Male,C3,Southampton,0.0,46.0,0
323,12.0,Female,C3,Southampton,0.0,46.0,0
324,16.0,Female,C3,Southampton,0.0,46.0,0
325,14.0,Male,C3,Southampton,0.0,46.0,0
326,42.0,Male,C3,Southampton,1.0,46.0,0
327,43.0,Female,C3,Southampton,1.0,46.0,0
328,38.0,Male,C1,Southampton,0.0,30.0,0
329,41.0,Male,C3,Southampton,1.0,8.0,0
330,43.0,Male,Crew,Southampton,0.0,0.0,0
331,32.0,Male,C3,Southampton,0.0,8.0,0
332,46.0,Male,C1,Cherbourg,0.0,79.0,0
333,19.0,Male,C3,Southampton,0.0,9.0,0
334,28.0,Male,C3,Southampton,0.0,7.0,0
335,24.0,Female,C3,Southampton,0.0,8.0,0
336,28.0,Male,C3,Southampton,1.0,6.0,0
337,19.0,Male,C3,Southampton,0.0,6.0,0
338,28.0,Male,C3,Southampton,1.0,15.0,0
339,47.0,Male,Crew,Southampton,1.0,0.0,0
340,54.0,Male,Crew,Southampton,0.0,0.0,0
341,41.0,Male,C3,Southampton,1.0,14.0,0
342,45.0,Male,C2,Southampton,0.0,13.0,0
343,17.0,Female,C3,Queenstown,0.0,7.0,0
344,21.0,Female,C3,Southampton,0.0,7.0,0
345,39.0,Male,C2,Southampton,0.0,33.0,0
346,37.0,Male,Crew,Southampton,0.0,42.0,0
347,24.0,Male,Crew,Southampton,1.0,0.0,0
348,45.0,Male,C1,Southampton,1.0,83.0,0
349,45.0,Male,C2,Southampton,1.0,10.0,0
350,47.0,Male,C2,Southampton,0.0,26.0,0
351,30.0,Male,C3,Queenstown,1.0,6.0,0
352,52.0,Male,Crew,Southampton,0.0,0.0,0
353,55.0,Male,C1,Southampton,0.0,93.0,0
354,42.0,Male,C1,Southampton,1.0,42.0,0
355,20.0,Female,C3,Queenstown,0.0,6.0,0
356,23.0,Female,C3,Southampton,0.0,7.0,0
357,30.0,Male,C3,Southampton,1.0,7.0,0
358,28.0,Female,C3,Southampton,0.0,7.0,0
359,50.0,Male,C2,Southampton,1.0,65.0,0
360,51.0,Male,Crew,Southampton,1.0,0.0,0
361,24.0,Male,C2,Southampton,0.0,73.0,0
362,30.0,Male,C2,Southampton,0.0,73.0,0
363,21.0,Male,C2,Southampton,0.0,73.0,0
364,44.0,Male,C1,Southampton,1.0,51.0,0
365,18.0,Female,C2,Southampton,0.0,13.0,0
366,36.0,Male,Crew,Southampton,0.0,0.0,0
367,55.0,Male,C1,Southampton,0.0,50.0,0
368,23.0,Male,C2,Southampton,0.0,11.0,0
369,36.0,Male,C2,Southampton,1.0,13.0,0
370,50.0,Male,C2,Southampton,1.0,13.0,0
371,46.0,Male,Crew,Belfast,1.0,0.0,0
372,44.0,Male,C2,Southampton,1.0,26.0,0
373,43.0,Male,C3,Southampton,0.0,6.0,0
374,18.0,Male,C3,Southampton,1.0,22.0,0
375,42.0,Male,C1,Southampton,1.0,52.0,0
376,14.0,Male,Crew,Southampton,0.0,0.0,0
377,22.0,Male,C3,Queenstown,0.0,7.0,0
378,22.0,Male,Crew,Southampton,1.0,0.0,0
379,63.0,Male,C2,Southampton,1.0,26.0,0
380,61.0,Female,C2,Southampton,1.0,26.0,0
381,43.0,Male,C1,Cherbourg,0.0,30.0,0
382,42.0,Male,C3,Southampton,1.0,7.0,0
383,34.0,Male,C2,Southampton,1.0,12.0,0
